started_at,ended_at,duration,start_station_id,start_station_name,start_station_description,start_station_latitude,start_station_longitude,end_station_id,end_station_name,end_station_description,end_station_latitude,end_station_longitude
2021-01-08 13:09:43.148000+00:00,2021-01-08 13:20:55.130000+00:00,671,394,Bjølsen Studentby,ved rundkjøringen,59.943777539367225,10.760121127577955,471,Marienlyst,ved bensinstasjon,59.932432498521095,10.721762294477472
2021-01-08 13:09:46.169000+00:00,2021-01-08 13:19:30.328000+00:00,584,502,Ullevål sykehus,langs Kirkeveien,59.9360307,10.7364516,493,Sofienbergparken nordvest,langs Helgesens Gate,59.9243639,10.7615858
2021-01-08 13:11:33.067000+00:00,2021-01-08 13:20:30.804000+00:00,537,597,Fredensborg,ved rundkjøringen,59.920995,10.750358,478,Jernbanetorget,Europarådets plass,59.911901,10.749929
2021-01-08 13:11:52.126000+00:00,2021-01-08 13:16:17.339000+00:00,265,416,Tannlegehøyskolen,langs Geitmyrsveien,59.932383,10.741475,620,Bislettgata,ved Sofies Gate,59.92377440938114,10.734712874574
2021-01-08 13:14:54.309000+00:00,2021-01-08 13:23:28.694000+00:00,514,407,Sagene bussholdeplass,langs Kierschovs gate,59.937743,10.751648,529,Friggfeltet,langs Slemdalsveien,59.9327726,10.7114661
2021-01-08 13:15:35.233000+00:00,2021-01-08 13:19:07.311000+00:00,212,391,St. Hanshaugen park vest,ved busstoppet Colletts gate,59.9268706,10.7384634,476,Edvard Storms gate,ved Pilestredet,59.919111,10.736179
2021-01-08 13:15:56.972000+00:00,2021-01-08 13:50:56.908000+00:00,2099,475,Hausmanns bru,langs Nylandsveien,59.9146509,10.7598719,734,Nylandsveien,ved Urtegata,59.9156603,10.7622812
2021-01-08 13:16:49.340000+00:00,2021-01-08 13:30:12.890000+00:00,803,438,BI Nydalen,ved hovedinngangen,59.949239,10.768576,513,Bøkkerveien,ved HasleLinje,59.9273747,10.7960147
2021-01-08 13:17:20.682000+00:00,2021-01-08 13:28:01.998000+00:00,641,742,Hasle,langs Økernveien,59.924342,10.79285,499,Bjerregaards gate,ovenfor Fredrikke Qvams gate,59.925488,10.746058
2021-01-08 13:17:43.968000+00:00,2021-01-08 13:41:01.717000+00:00,1397,746,Bygdøy allé,ved parkeringsplassen,59.919001,10.692321,394,Bjølsen Studentby,ved rundkjøringen,59.943777539367225,10.760121127577955
2021-01-08 13:18:11.102000+00:00,2021-01-08 13:27:48.717000+00:00,577,587,Riddervoldplass,ved Camilla Colletts vei,59.9191421,10.7196414,478,Jernbanetorget,Europarådets plass,59.911901,10.749929
2021-01-08 13:19:05.421000+00:00,2021-01-08 13:27:15.184000+00:00,489,590,Majorstua skole,langs Bogstadveien,59.9294351,10.7136816,484,Karenlyst allé,ved Skabos vei,59.92033,10.683814
2021-01-08 13:19:13.809000+00:00,2021-01-08 14:07:17.298000+00:00,2883,551,Olaf Ryes plass,langs Sofienberggata,59.922425,10.758182,443,Sjøsiden ved trappen,Oslo S,59.910154466964954,10.751980909227372
2021-01-08 13:20:01.067000+00:00,2021-01-08 13:23:49.566000+00:00,228,443,Sjøsiden ved trappen,Oslo S,59.910154466964954,10.751980909227372,616,Salt,ved Langkaia,59.906922167198275,10.746530272588245
2021-01-08 13:20:12.440000+00:00,2021-01-08 13:23:32.465000+00:00,200,611,Bankplassen,ved Kirkegata,59.908454,10.741869,443,Sjøsiden ved trappen,Oslo S,59.910154466964954,10.751980909227372
2021-01-08 13:20:13.318000+00:00,2021-01-08 13:25:20.053000+00:00,306,396,Kirkeristen,ved Torggata,59.91300035973293,10.746760585982287,611,Bankplassen,ved Kirkegata,59.908454,10.741869
2021-01-08 13:20:43.770000+00:00,2021-01-08 13:31:54.547000+00:00,670,557,Akersgata,ved Grensen,59.9141971,10.7428828,381,Grønlands torg,ved Tøyenbekken,59.91252,10.76224
2021-01-08 13:21:56.466000+00:00,2021-01-08 13:30:48.993000+00:00,532,400,OsloMet,langs Pilestredet,59.919927,10.735428,608,Colletts gate,ved Diriks gate,59.93068679863987,10.746273349149249
2021-01-08 13:23:28.391000+00:00,2021-01-08 13:28:42.392000+00:00,314,406,Carl Berners plass sør,langs Finnmarkgata,59.92507,10.775996,586,Københavngata busstopp,ved Fagerheim tennisklubb,59.9294565845173,10.769121495700826
2021-01-08 13:24:41.842000+00:00,2021-01-08 13:28:09.917000+00:00,208,1023,Professor Aschehougs plass,ved Kristian IVs gate,59.9147672,10.740971,437,Sentrum Scene,ved Arbeidersamfunnets plass,59.91546786564256,10.751140873016311
2021-01-08 13:24:43.726000+00:00,2021-01-08 13:32:30.060000+00:00,466,521,Jess Carlsens gate,ved Hausmanns gate,59.9186359,10.7523939,598,Sofienbergparken nord,langs Helgesens gate,59.923229,10.766171
2021-01-08 13:26:26.978000+00:00,2021-01-08 13:30:21.715000+00:00,234,563,Huitfeldts gate,ved Observatoriegata,59.9126844,10.7229003,468,Skillebekk,langs Drammensveien,59.912793405455375,10.710103028570302
